"Metabolon_Metabolite_ID","HARV_21560","HARV_21561","HARV_21562","HARV_21563","HARV_21564","HARV_21565","HARV_21566","HARV_21567","HARV_21568","HARV_21569","HARV_21570","HARV_21571","HARV_21572","HARV_21573","HARV_21574","HARV_21575","HARV_21576","HARV_21577","HARV_21578","HARV_21579","HARV_21580","HARV_21581","HARV_21582","HARV_21583","HARV_21584","HARV_21585","HARV_21586","HARV_21587","HARV_21588","HARV_21589","HARV_21590","HARV_21591","HARV_21592","HARV_21593","HARV_21594","HARV_21595","HARV_21596","HARV_21597","HARV_21598","HARV_21599","HARV_21600","HARV_21601","HARV_21602","HARV_21603","HARV_21604","HARV_21605","HARV_21606","HARV_21607"
"504",0.0243933073216938,0.014474745896572,,0.301429742464632,1.38470270541192,0.265609812716029,0.207186509556932,1.60504303447021,0.214786234657512,,,,,0.0971478434924358,,,0.153601968080304,,0.276493595731751,1.77875567210309,0.271257835316029,0.274338502900735,1.2708821870066,0.296112384332617,0.0194358213245296,,,1.93505838030034,0.217126826493235,1.56857269597273,1.60600857697651,0.239568330290558,1.86578349368223,,,,0.153161525866063,,0.117857903661033,0.133194429599581,,0.158629944141954,1.69182972440743,0.429983229152876,1.32846628720984,1.5286221262405,0.24989798153051,1.57113436902698
"353",,,,0.892417341635922,0.734420473840362,0.552451002412772,0.685490183562559,0.718034624823983,0.703192491437673,,,,,,,,,,0.219454651216041,2.97586667678224,0.225853670408593,0.231227892310281,0.283020033821608,0.322994310155548,,,,1.91290945377256,0.372203561460724,0.949509968126414,0.730470148490287,0.459112348340009,1.48324712113706,,,,,,,,,,0.451393528609914,0.484586783836292,1.10566839404933,0.567335094206404,0.244025847121199,
"305",,,,1.00555990208943,0.902013983355954,0.561122356255447,0.71193485292292,0.752270283895125,0.701606875007043,,,,,,,,,,0.244158583868915,2.08753422939666,0.225057203446764,0.23682253746017,0.255151926454226,0.286369256917342,,,,2.47095729455752,0.362055066299599,1.56838877761792,1.27581157660571,0.395374918893637,1.39518970058049,,,,,,,,,,0.491487076836652,0.479497918115637,0.749422721215428,0.333913726895909,0.228803559739384,
"139",,,,0.75175796622272,0.827212740105547,0.450961886536746,0.576901182515602,0.727708051168423,0.559973664997561,,,,,,,,,,0.22507708363275,2.40223795196216,0.223736512082428,0.195533224490413,0.309441010869496,0.249204686981101,,,,2.59629229460811,0.2974068702448,1.46273531599003,1.0560306814618,0.385995863155346,1.58827089605256,,,,,,,,,,0.484021595576482,0.435282410621896,0.921869828873261,0.435921165580899,0.20266246156268,0.208434405703944
"157",,,,0.724245203065117,0.749565375919546,0.43134178270875,0.525955582612663,0.735813613497209,0.599526425731091,,,,,,,,,,0.21920020522359,2.54172789406489,0.199865908324081,0.14934350781069,0.301064213941816,0.200894702086455,,,,2.66916396925878,0.292546989856402,1.14490480179915,1.01464131494721,0.305548305952048,1.44163650658899,,,,,,,,,,0.419934094473131,0.46134913969492,0.800075857000238,0.275221117942445,0.146113156956915,
"376",,,,0.877176966905384,0.923911080159183,0.495905611930382,0.677724989316814,0.572224858927756,0.979543172829626,,,,,,,,,,0.348641439582233,3.10446740592455,0.201807646890635,0.256309546377817,0.37197490707229,0.347175192036932,,,,2.14825747684692,0.371425656219927,1.00934989187308,0.839106163653932,0.295833415978265,1.07137532774106,,,,,,,,,,0.49034274558021,0.517164674806865,0.917201391637581,0.321695135809422,0.264052404835729,0.163102566230584
"86",0.311229260489489,0.289261096708975,,0.269726795880282,1.40622191947226,0.187748289987993,0.288211635228748,1.51547877048885,0.285528550913181,,,,0.257571025508033,1.82838447945625,0.172490232187744,0.147087274638831,1.68484093976671,,0.245635467367729,0.882297379343361,0.229455305640911,0.209334324774713,0.849080929921245,0.207650624534284,0.299789487615022,,,1.18902573685822,0.272458462417554,1.33522812154807,1.35750745289142,0.245106098267073,1.48961540544256,0.132188321556153,,,1.86514414318764,0.218330514782479,1.92763039070462,1.81418970736842,0.223330029672178,1.9164137749113,0.998496633456096,0.234957352891662,0.828797332909011,0.895602285875739,0.29917253516422,0.94194010897471
"87",0.276291825154005,0.292692604067895,,0.267864855318311,1.62870701947205,0.215725763208931,0.233953614352625,1.53381149582933,0.26422061105181,0.119190874277775,0.162784201768216,,0.205262499303729,1.48833168083635,0.141439257063584,0.208732483911594,1.4246267943373,0.122229868834997,0.216143519720346,1.29241144721947,0.220523531546159,0.142306195680252,0.912748239432456,0.245237381539155,0.301928223630806,,,1.48970901276176,0.223912025380555,1.43616118380917,1.63910623053487,0.263373183387816,1.52687291356203,,,,1.67325373777618,0.202989909272671,1.77306251902807,2.07692550978968,0.264106692954743,1.67563400100879,1.27450423222372,0.231568776605862,0.929938202572656,1.02387364877636,0.214712179564465,1.08681298314276
"68",0.105436143858997,0.0881053513861049,,0.0984467481718381,1.56124431941085,0.071907587240531,0.116838631495738,1.95828794868471,0.0768689157293319,,,,,1.19013539734818,,,1.55868825421823,0.0292735376731372,0.0500215885608916,0.748224491217883,0.0674164732412114,0.0647425354517898,0.864434005752145,0.0725958074304202,0.109681202579845,,,1.57348751293687,0.166476094146121,1.19876486625967,1.82945796689124,0.108982149374123,2.41817558248805,,,,1.56467392934777,0.0232934781437672,1.20154111754999,1.12579765060914,0.0374496231777955,1.44306648979531,1.07058693671338,0.0691858527162942,0.903423619487011,0.65123712612174,0.0520577285720621,0.84099898242918
"4173",,,,0.0604801696188927,1.79390210334097,0.219046738852076,0.168335829226545,1.58309375999174,0.147400997178628,,,,,1.04738007793064,,,1.29604698648409,,0.281616311787655,1.0783451513567,0.134404443464379,0.450649438573576,0.785978154673877,0.262996342923109,,,,1.27795814338722,0.139742218225487,1.29902687374025,1.39726761094335,0.174324005673278,1.44531639473653,,,,1.45103001079353,,1.11467613343712,1.17488578582497,,1.26918637817266,0.905815583028506,0.434275658731802,0.841714919816805,1.43902490404749,0.265171766627435,0.798333621805057
